board_name,url,Overall Rating,Riding Style,Riding Level,Fits Boot size (US),Manufactured in,Shape,Camber Profile,Stance,Approx. Weight,Powder,Turning Experience,Carving,Speed,Uneven Terrain,Switch,Jumps,Jibbing,Pipe,year,gender,id
Arbor Bryan Iguchi Pro Rocker,https://thegoodride.com/snowboard-reviews/arbor-bryan-iguchi-pro-rocker-snowboard-review,It´s OK,All Mountain,Beginner - Advanced,8-10,Dubai by SWS,Tapered Directional,Continuous Rocker,Centered,Feels Normal,Good,Average,Average,Average,Great,Good,Good,Good,Good,[],mens,czEQYmldF7Sw+jL9+RtW60456qk=
Arbor Cask,https://thegoodride.com/snowboard-reviews/arbor-cask-2019-snowboard-review,Pretty Good,Alternative Freeride,Intermediate - Expert,"8-10, 10-12",Dubai by SWS,Tapered Directional,Mostly Camber,Centered,Feels Heavy,Great,Great,Good,Good,Good,Poor,Average,Poor,Good,['2019'],mens,N2X1VyOC7WbzdfPHsQY/qmMB3mc=
Arbor Clovis,https://thegoodride.com/snowboard-reviews/arbor-clovis-2017-2019-snowboard-review,Not for us,Freeride,Intermediate - Expert,"< 8, 8-10",Dubai by SWS,Tapered Directional,Mostly Camber,Centered,Feels Heavy,Good,Great,Good,Good,Great,Good,Good,Average,Good,"['2017', '2019']",mens,+76gNyVnBLBdJYe+pAXciVJ+kCk=
Arbor Coda Camber,https://thegoodride.com/snowboard-reviews/arbor-coda-camber-2016-2019-snowboard-review,Liked it!,All Mountain Freestyle,Intermediate - Expert,8-10,Dubai by SWS,Directional Twin,Mostly Camber,Centered,Feels Normal,Average,Good,Great,Good,Good,Great,Excellent,Good,Great,"['2016', '2019']",mens,+FbeaX6Jo3bC5sDgql1p9ev4qCw=
Arbor Cosa Nostra,https://thegoodride.com/snowboard-reviews/arbor-cosa-nostra-2017-snowboard-review,Pretty Good,Powder,Beginner - Advanced,8-10,Dubai by SWS,Tapered Directional,Continuous Rocker,Setback -20mm,Feels Normal,Great,Average,Average,Good,Great,Average,Average,Average,Average,['2017'],mens,xGarud1QzhGT3iw/OWIzMRhKmu8=
Arbor Crosscut Camber,https://thegoodride.com/snowboard-reviews/arbor-crosscut-camber-2021-snowboard-review,None,Freeride,Advanced - Expert,"8-10, 10-12, > 12",Dubai by SWS,Tapered Directional,Mostly Camber,Setback -10mm,Feels Normal,Good,Great,Great,Great,Great,Average,Good,Poor,Poor,['2021'],mens,QhcuswUxH33rf5I1ClysWFhzZuo=
Arbor  Element,https://thegoodride.com/snowboard-reviews/arbor-element-2010-2017-snowboard-review,Liked it!,All Mountain Freestyle,Intermediate - Expert,8-10,Dubai by SWS,Directional Twin,Continuous Rocker,Centered,Feels Normal,Average,Average,Average,Good,Great,Great,Great,Good,Good,"['2010', '2017']",mens,LVjOY/cS93dg+0X5yGvu4411FMM=
Arbor Element Camber,https://thegoodride.com/snowboard-reviews/arbor-element-camber-2021-snowboard-review,None,All Mountain Freestyle,Intermediate - Expert,"8-10, 10-12",Dubai by SWS,Directional Twin,Mostly Camber,Centered,Feels Normal,Poor,Great,Great,Great,Great,Great,Great,Average,Great,['2021'],mens,SRC+4Wjo+l1DZ4hWHeOp0nVer5k=
Arbor  Formula,https://thegoodride.com/snowboard-reviews/arbor-formula-2016-2021-snowboard-review,Pretty Good,All Mountain Freestyle,Beginner - Intermediate,8-10,Dubai by SWS,Directional Twin,Continuous Rocker,Centered,Feels Heavy,Average,Average,Average,Average,Good,Great,Good,Good,Good,"['2016', '2021']",mens,WsGuKLLKPriPo9Ly2iu7cxZdZL0=
Arbor Wasteland Camber,https://thegoodride.com/snowboard-reviews/arbor-wasteland-camber-2021-snowboard-review,None,All Mountain Freestyle,Expert,8-10,Dubai by SWS,Directional Twin,Traditional Camber,Centered,Feels Normal,Poor,Great,Great,Great,Great,Great,Excellent,Average,Excellent,['2021'],mens,d4sYJ4Ax+GPiNkDLNT9o8tsZAP8=
Arbor Westmark Camber,https://thegoodride.com/snowboard-reviews/arbor-westmark-camber-snowboard-review,Liked it!,Freestyle,Intermediate - Expert,"8-10, 10-12",Dubai by SWS,True Twin,Mostly Camber,Centered,Feels Normal,Poor,Good,Good,Good,Good,Great,Great,Good,Great,[],mens,CcE2NzaoovzTQMp7AoZiLpTqi2A=
Bataleon Evil Twin,https://thegoodride.com/snowboard-reviews/bataleon-evil-twin-2020-snowboard-review,None,All Mountain Freestyle,Beginner - Expert,8-10,Dubai by SWS,True Twin,Hybrid Camber,Centered,Feels Normal,Average,Average,Average,Good,Great,Great,Great,Good,Average,['2020'],mens,UG9POLHOQBLhZQBEFCDw3a8uhtk=
Bataleon  Goliath,https://thegoodride.com/snowboard-reviews/bataleon-goliath-2020-snowboard-review,None,All Mountain Freestyle,Beginner - Expert,"8-10, 10-12",Dubai by SWS,True Twin,Hybrid Camber,Centered,Feels Normal,Average,Average,Average,Good,Great,Great,Great,Good,Average,['2020'],mens,fFczyzkgviWe5YRFFWSGnQN4h9w=
Bataleon Party Wave,https://thegoodride.com/snowboard-reviews/bataleon-party-wave-2020-snowboard-review,None,Alternative Freeride,Intermediate - Expert,"8-10, 10-12",Dubai by SWS,Tapered Directional,Hybrid Camber,Setback over 20mm,Feels Normal,Great,Good,Good,Good,Great,Average,Good,Good,Average,['2020'],mens,YwV3PMhQRx3mctHcIW1D6gEHol4=
Bataleon Surfer LTD,https://thegoodride.com/snowboard-reviews/bataleon-surfer-ltd-2020-snowboard-review,None,Powder,Intermediate - Expert,"8-10, 10-12",Dubai by SWS,Tapered Directional,Hybrid Camber,Setback over 20mm,Feels Normal,Excellent,Average,Average,Good,Good,Poor,Good,Average,Average,['2020'],mens,0GRpPy8z/Yo1BEO5BSvPAjdQyfU=
Burton 3D Kilroy Camber,https://thegoodride.com/snowboard-reviews/burton-3d-kilroy-camber-2021-snowboard-review,None,All Mountain,Intermediate - Expert,"< 8, 8-10, 10-12",China,Directional,Hybrid Camber,Setback -12.5mm,Feels Normal,Good,Good,Good,Good,Good,Good,Good,Great,Average,['2021'],mens,HNBrSGHI8ZXvwWJrtfqizuA4ko0=
Burton Antler,https://thegoodride.com/snowboard-reviews/burton-antler-2017-purepop-camber-snowboard-review,Liked it!,All Mountain Freestyle,Advanced - Expert,8-10,China,Twinish,Mostly Camber,Centered,Feels Light,Poor,Good,Great,Good,Good,Good,Great,Average,Great,['2017'],mens,UpbYVgro2SX/0dV/iKzlcNNKjFQ=
Burton Big Gulp,https://thegoodride.com/snowboard-reviews/burton-big-gulp-2021-snowboard-review,None,Alternative Freeride,Advanced - Expert,"8-10, 10-12",Austria,Tapered Directional,Directional Camber,Setback -12.5mm,Feels Normal,Great,Great,Great,Great,Great,Average,Good,Poor,Average,['2021'],mens,bfTDc0OjVMWAt3xMu6R+suoPIn0=
Burton Blunt,https://thegoodride.com/snowboard-reviews/burton-blunt-2010-2017-snowboard-review,It´s OK,Freestyle,Beginner - Advanced,"8-10, 10-12",China,True Twin,Hybrid Rocker,Centered,Feels Normal,Average,Average,Average,Average,Great,Great,Good,Good,Poor,"['2010', '2017']",mens,NCCyWDLoJTUvt4U2vQcvG/O1cxA=
Burton Branch Manager,https://thegoodride.com/snowboard-reviews/burton-branch-manager-2017-snowboard-review,Liked it!,Alternative Freeride,Advanced - Expert,8-10,China,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Good,Good,Great,Great,Great,Average,Good,Poor,Good,['2017'],mens,ozTApV05+1uPCYNU16Rf7q59ahQ=
Burton CK Nug,https://thegoodride.com/snowboard-reviews/burton-ck-nug-2017-snowboard-review,Liked it!,All Mountain,Intermediate - Expert,"8-10, 10-12",China,Directional,Hybrid Camber,Setback over 20mm,Feels Normal,Average,Good,Good,Good,Great,Average,Good,Good,Good,['2017'],mens,7nECpTy2z7sAURt3Qm6rhe/N3cE=
Burton  Clash,https://thegoodride.com/snowboard-reviews/burton-clash-2010-2017-snowboard-review,It´s OK,All Mountain,Beginner - Intermediate,8-10,China,Tapered Directional,Flat to Rocker,Setback over 20mm,Feels Normal,Good,Average,Poor,Average,Great,Average,Average,Good,Average,"['2010', '2017']",mens,USzY7sD+quhMiWJ0bgzH4I2HQRo=
Burton Con Artist,https://thegoodride.com/snowboard-reviews/burton-con-artist-2018-snowboard-review,Liked it!,Alternative Freeride,Advanced - Expert,"8-10, 10-12",Vermont at Burton,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Good,Excellent,Great,Good,Excellent,Good,Good,Poor,Good,['2018'],mens,O7ly/FCB5ehFGbNefwPJ0i9koEo=
Burton Custom,https://thegoodride.com/snowboard-reviews/burton-custom-2010-2020-snowboard-review,Liked it!,All Mountain,Intermediate - Expert,"8-10, 10-12, > 12",China,Twinish,Traditional Camber,Setback -12.5mm,Feels Normal,Average,Excellent,Great,Great,Good,Good,Great,Average,Good,"['2010', '2020']",mens,Fs4RoqVpy6xCIgB7OgblkB/N8Hk=
Burton Custom Flying V,https://thegoodride.com/snowboard-reviews/burton-custom-flying-v-2010-2018-snowboard-review,Pretty Good,All Mountain,Beginner - Expert,"8-10, 10-12, > 12",China,Twinish,Hybrid Rocker,Setback -12.5mm,Feels Normal,Good,Good,Average,Good,Great,Good,Great,Good,Average,"['2010', '2018']",mens,EAGBHNHP1ZXUyWGPgfgwCzIMu0M=
Burton Custom Twin,https://thegoodride.com/snowboard-reviews/burton-custom-twin-2017-snowboard-review,Liked it!,All Mountain Freestyle,Advanced - Expert,8-10,China,Asymmetrical Twin,Mostly Camber,Centered,Feels Normal,Poor,Good,Great,Great,Great,Great,Excellent,Average,Good,['2017'],mens,oY3w/eW9SW1lNUvvmVxOClxyP5Q=
Burton Custom Twin Flying V,https://thegoodride.com/snowboard-reviews/burton-custom-twin-flying-v-2015-2017-snowboard-review,Pretty Good,All Mountain Freestyle,Intermediate - Expert,8-10,China,Asymmetrical Twin,Hybrid Rocker,Centered,Feels Normal,Average,Good,Average,Good,Great,Great,Great,Good,Average,"['2015', '2017']",mens,sN1S5eubZ2i7z2pf19pSSsbFTV0=
Burton Custom X,https://thegoodride.com/snowboard-reviews/burton-custom-x-2010-2017-snowboard-review,Liked it!,All Mountain,Advanced - Expert,"8-10, 10-12",Austria,Directional,Traditional Camber,Setback over 20mm,Feels Light,Average,Excellent,Excellent,Great,Good,Average,Good,Average,Good,"['2010', '2017']",mens,OGb/EqvDEcV6u0vjEOkZN7QaBXQ=
Burton Custom X Flying V,https://thegoodride.com/snowboard-reviews/burton-custom-x-flying-v-2017-2020-snowboard-review,Pretty Good,All Mountain,Intermediate - Expert,8-10,China,Directional,Hybrid Rocker,Setback -12.5mm,Feels Light,Good,Good,Average,Good,Great,Good,Good,Average,Good,"['2017', '2020']",mens,Ppyx4BEaxize5CNHeJdz0eYTxhk=
Burton Deep Thinker,https://thegoodride.com/snowboard-reviews/burton-deep-thinker-2018-2020-snowboard-review,Pretty Good,Freeride,Advanced - Expert,8-10,China,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Good,Great,Great,Great,Average,Good,Great,Poor,Good,"['2018', '2020']",mens,zyAA5JnKL/6dGGAjTuhfpM9gLtc=
Burton Dump Truck,https://thegoodride.com/snowboard-reviews/burton-dump-truck-2018-snowboard-review,Liked it!,Alternative Freeride,Advanced - Expert,"8-10, 10-12",Austria,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Great,Great,Great,Good,Good,Average,Good,Poor,Good,['2018'],mens,dkMJQNsVtIDS+UAF+tOqCXTITRc=
Burton Fish,https://thegoodride.com/snowboard-reviews/burton-fish-2010-2018-snowboard-review,Liked it!,Powder,Advanced - Expert,10-12,Austria,Tapered Directional,Flat to Rocker,Setback over 20mm,Feels Light,Great,Average,Average,Good,Great,Poor,Average,Poor,Average,"['2010', '2018']",mens,WiOTlon7CwEkLiNea/l2puYsxYI=
Burton Flight Attendant,https://thegoodride.com/snowboard-reviews/burton-flight-attendant-2015-2020-snowboard-review,Loved it!,Freeride,Advanced - Expert,"8-10, 10-12",Austria,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Great,Great,Great,Great,Great,Good,Good,Poor,Good,"['2015', '2020']",mens,Zi8UR3uC0CShtAq1bv5LOOSzc1k=
Burton Free Thinker,https://thegoodride.com/snowboard-reviews/burton-free-thinker-2018-2019-snowboard-review,Not for us,All Mountain Freestyle,Advanced - Expert,"8-10, 10-12",Austria,True Twin,Traditional Camber,Centered,Feels Normal,Poor,Good,Great,Great,Average,Great,Great,Average,Good,"['2018', '2019']",mens,Wp0XcBAntqDR6YAloQZGUmyPYxE=
Burton Gate Keeper,https://thegoodride.com/snowboard-reviews/burton-gate-keeper-2017-snowboard-review,Liked it!,Alternative Freeride,Advanced - Expert,10-12,Austria,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Great,Great,Great,Great,Great,Average,Good,Average,Good,['2017'],mens,XrPMr7wBaWzwMQVC2YlqVTwcEjA=
Burton Hometown Hero,https://thegoodride.com/snowboard-reviews/burton-hometown-hero-2020-2021-snowboard-review,None,Alternative Freeride,Advanced - Expert,8-10,Austria,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Great,Excellent,Great,Good,Great,Average,Great,Average,Good,"['2020', '2021']",mens,lxRBhjg9D0fYo14UqJxqb0EOjgA=
Burton Kilroy Custom,https://thegoodride.com/snowboard-reviews/burton-kilroy-custom-2018-2019-snowboard-review,Pretty Good,All Mountain Freestyle,Advanced - Expert,8-10,China,Directional,Traditional Camber,Centered,Feels Normal,Poor,Great,Great,Great,Good,Good,Great,Average,Good,"['2018', '2019']",mens,loVDio1ZwN6xBVNwA7G3cGVI0wk=
Burton Kilroy Pow Camber,https://thegoodride.com/snowboard-reviews/burton-kilroy-pow-camber-2021-snowboard-review,None,Alternative Freeride,Advanced - Expert,"8-10, 10-12",China,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Great,Great,Great,Great,Great,Poor,Average,Poor,Average,['2021'],mens,TAyW3zstxuxEQwSwqUH7ne4JLGI=
Burton Kilroy Process,https://thegoodride.com/snowboard-reviews/burton-kilroy-process-2019-snowboard-review,Liked it!,All Mountain Freestyle,Advanced - Expert,"8-10, 10-12, > 12",China,True Twin,Traditional Camber,Centered,Feels Normal,Poor,Great,Great,Good,Good,Great,Great,Average,Great,['2019'],mens,33sNjGKEAN/rqxr9uU1zBaNNkWA=
Burton Kilroy Twin Camber,https://thegoodride.com/snowboard-reviews/burton-kilroy-twin-camber-2021-snowboard-review,None,All Mountain Freestyle,Advanced - Expert,8-10,China,True Twin,Traditional Camber,Centered,Feels Normal,Poor,Good,Good,Good,Good,Great,Great,Good,Good,['2021'],mens,LHvwYwK92Xu0IS670kZSpTsnGy0=
Burton Landlord,https://thegoodride.com/snowboard-reviews/burton-landlord-2014-2017-snowboard-review,Liked it!,Alternative Freeride,Advanced - Expert,8-10,Austria,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Great,Great,Great,Great,Great,Average,Average,Poor,Average,"['2014', '2017']",mens,21h3OL+bggURsCln/CvOpMPk2ac=
Burton Leader Board,https://thegoodride.com/snowboard-reviews/burton-leader-board-2020-snowboard-reveiw,None,Freeride,Expert,8-10,Austria,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Good,Great,Great,Excellent,Average,Average,Good,Poor,Good,['2020'],mens,+ZvYEcW26n4mo7RibrTDSiCEN00=
Burton Led Zeppelin X Easy Livin,https://thegoodride.com/snowboard-reviews/burton-led-zeppelin-x-easy-livin-2017-snowboard-review,Not for us,All Mountain Freestyle,Advanced - Expert,10-12,China,True Twin,Mostly Camber,Centered,Feels Normal,Poor,Good,Good,Good,Average,Great,Good,Average,Good,['2017'],mens,C/Epov/2U7hWKhhrdla5nq9sga8=
Burton Modified Fish,https://thegoodride.com/snowboard-reviews/burton-modified-fish-2016-2017-snowboard-review,Liked it!,Powder,Intermediate - Expert,"8-10, 10-12",Austria,Tapered Directional,Flat to Rocker,Setback over 20mm,Feels Normal,Great,Average,Average,Great,Good,Average,Average,Average,Average,"['2016', '2017']",mens,Lt7umCqb0nm8gS22Sh/VZvvl8iw=
Burton Name Dropper,https://thegoodride.com/snowboard-reviews/burton-name-dropper-2014-2017-snowboard-review,Liked it!,Jib / Street,Intermediate - Expert,8-10,China,Asymmetrical Twin,Flat to Rocker,Centered,Feels Light,Average,Average,Poor,Average,Great,Great,Good,Excellent,Poor,"['2014', '2017']",mens,T3t/S7hZ/ZlXHDRtwEXuglaOfgQ=
Burton One-Hitter,https://thegoodride.com/snowboard-reviews/burton-one-hitter-2020-snowboard-review,None,Alternative Freeride,Advanced - Expert,10-12,Austria,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Great,Great,Great,Great,Great,Good,Great,Poor,Average,['2020'],mens,PFFybJIjYNLcvoyxDvlynU948Gw=
Burton Panhandler,https://thegoodride.com/snowboard-reviews/burton-panhandler-2018-snowboard-review,Liked it!,Powder,Intermediate - Expert,"8-10, 10-12",Austria,Tapered Directional,Flat to Rocker,Setback over 20mm,Feels Normal,Great,Average,Average,Good,Great,Poor,Average,Poor,Average,['2018'],mens,9QWAN2IJuULXB1TJNQW3RDjVHB8=
Burton Process,https://thegoodride.com/snowboard-reviews/burton-process-2011-2018-snowboard-review,Pretty Good,All Mountain,Intermediate - Expert,"8-10, 10-12",China,True Twin,Traditional Camber,Setback -12.5mm,Feels Normal,Poor,Good,Good,Great,Good,Great,Great,Average,Good,"['2011', '2018']",mens,xcesV2C/AV6AO1EwXtMNXM6YbG8=
Burton Process Flying V,https://thegoodride.com/snowboard-reviews/burton-process-flying-v-2011-2018-snowboard-review,Pretty Good,All Mountain,Beginner - Expert,"8-10, 10-12",Austria,Directional Twin,Hybrid Rocker,Setback -12.5mm,Feels Normal,Average,Average,Average,Good,Great,Great,Great,Good,Average,"['2011', '2018']",mens,CuSsH1+7a4nwbP0ENDRBE4pK3W4=
Burton Process Off Axis,https://thegoodride.com/snowboard-reviews/burton-process-off-axis-2015-2018-snowboard-review,Pretty Good,All Mountain Freestyle,Advanced - Expert,"8-10, 10-12",China,Asymmetrical Twin,Mostly Camber,Centered,Feels Normal,Poor,Good,Good,Great,Good,Great,Great,Average,Good,"['2015', '2018']",mens,M66mNaXWfUteWrRK+R7/ller6nU=
Burton Sensei,https://thegoodride.com/snowboard-reviews/burton-sensei-2021-snowboard-review,None,Freeride,Advanced - Expert,"< 8, 8-10",Austria,Directional,Traditional Camber,Setback -20mm,Feels Normal,Good,Great,Great,Good,Good,Average,Good,Poor,Average,['2021'],mens,d2drO//yZKf+09S4m7RJIKV0Shg=
Burton Skeleton Key,https://thegoodride.com/snowboard-reviews/burton-skeleton-key-2017-2020-snowboard-review,None,Alternative Freeride,Advanced - Expert,8-10,China,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Great,Excellent,Great,Good,Great,Average,Good,Average,Good,"['2017', '2020']",mens,3RQHnfxz+wL4oAcFr5UUaz8JiGA=
Burton Speed Date,https://thegoodride.com/snowboard-reviews/burton-speed-date-2019-snowboard-review,Liked it!,Freeride,Advanced - Expert,"< 8, 8-10",Austria,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Good,Great,Great,Great,Good,Average,Good,Poor,Good,['2019'],mens,j89ilKmtGI3C/pj56MKWvLnulmc=
Burton Straight Chuter,https://thegoodride.com/snowboard-reviews/burton-straight-chuter-2021-snowboard-review,None,Freeride,Advanced - Expert,"8-10, 10-12",Austria,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Great,Great,Great,Great,Good,Poor,Good,Poor,Average,['2021'],mens,1cw8d4J2ha3lsnicRCpuvk8SnBI=
Burton Stun Gun,https://thegoodride.com/snowboard-reviews/burton-stun-gun-2019-snowboard-review,Liked it!,Alternative Freeride,Advanced - Expert,"8-10, 10-12",Austria,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Great,Great,Great,Good,Great,Average,Good,Poor,Good,['2019'],mens,xrRbV3VRAOSdOAEYUTkghaXR6o4=
Burton Super Bueno,https://thegoodride.com/snowboard-reviews/burton-super-bueno-2020-snowboard-review,None,Freeride,Advanced - Expert,8-10,Austria,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Good,Great,Great,Great,Great,Average,Great,Poor,Good,['2020'],mens,P1I7FfjTkpvSRt/TnAKgfWEupGc=
Burton Trick Pilot,https://thegoodride.com/snowboard-reviews/burton-trick-pilot-2019-snowboard-review,Liked it!,All Mountain Freestyle,Advanced - Expert,8-10,Austria,True Twin,Mostly Camber,Centered,Feels Normal,Average,Great,Great,Great,Good,Great,Great,Average,Good,['2019'],mens,CFQlF5LP2FlfEYmQMBq7Wz3WUP8=
Burton Trick Pony,https://thegoodride.com/snowboard-reviews/burton-trick-pony-2014-2018-snowboard-review,Liked it!,All Mountain,Intermediate - Expert,"10-12, > 12",Austria,Directional Twin,Hybrid Camber,Setback -12.5mm,Feels Light,Average,Good,Great,Great,Good,Great,Great,Average,Good,"['2014', '2018']",mens,nqp8cXKJfhOsoJ3UqzLR0uISBXI=
Burton Working Stiff,https://thegoodride.com/snowboard-reviews/burton-working-stiff-2018-snowboard-review,Pretty Good,Alternative Freeride,Advanced - Expert,"8-10, 10-12",USA,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Great,Good,Good,Good,Great,Average,Good,Good,Good,['2018'],mens,LbAbOtHi4iqQjNPL/p+Y8z/2PE4=
Capita Asymulator,https://thegoodride.com/snowboard-reviews/capita-asymulator-2020-snowboard-review,None,All Mountain Freestyle,Advanced - Expert,8-10,Austria at The Mothership,Asymmetrical Twin,Mostly Camber,Centered,Feels Light,Average,Great,Good,Good,Good,Excellent,Great,Good,Great,['2020'],mens,604kIVPVF2dHpG5RnikIG+PixrA=
Capita Black Snowboard of Death,https://thegoodride.com/snowboard-reviews/capita-black-snowboard-of-death-2010-2020-review,Liked it!,Freeride,Advanced - Expert,"8-10, 10-12",Austria by The Mothership,Tapered Directional,Directional Camber,Setback over 20mm,Feels Light,Good,Great,Good,Great,Great,Good,Good,Average,Good,"['2010', '2020']",mens,JmJLq+7Wgaq3HyP0lFS2v+27MV4=
Capita Charlie Slasher,https://thegoodride.com/snowboard-reviews/capita-charlie-slasher-2010-2017-snowboard-review,Pretty Good,Powder,Advanced - Expert,"8-10, 10-12",Austria by The Mothership,Tapered Directional,Flat to Rocker,Setback -20mm,Feels Normal,Good,Average,Average,Good,Good,Average,Average,Poor,Average,"['2010', '2017']",mens,/gsMBISgDYzQSL52c8TRoBbUT6Q=
Capita  Defenders Of Awesome,https://thegoodride.com/snowboard-reviews/capita-defenders-of-awesome-2013-2020-snowboard-review,Pretty Good,All Mountain Freestyle,Advanced - Expert,"8-10, 10-12",Austria at The Mothership,True Twin,Hybrid Camber,Centered,Feels Normal,Poor,Average,Average,Good,Good,Great,Great,Average,Good,"['2013', '2020']",mens,Wc5Ag0UaRKZMFKwkhqkZx8yzORY=
